Zip Code,Area Code,City,County,State,Country,LivabilityScore,Housing,Neighborhood,Transportation,Environment,Health,Engagement,Opportunity
36310,334,ABBEVILLE,HENRY,"Alabama, AL",US,46,61,42,31,60,21,58,47
35440,205,ABERNANT,TUSCALOOSA,"Alabama, AL",US,48,55,37,35,71,32,60,43
35005,205,ADAMSVILLE,JEFFERSON,"Alabama, AL",US,46,50,38,27,48,51,61,51
35540,256,ADDISON,WINSTON,"Alabama, AL",US,46,62,28,40,60,27,56,46
35006,205,ADGER,JEFFERSON,"Alabama, AL",US,49,52,43,41,52,48,61,44
35441,205,AKRON,HALE,"Alabama, AL",US,38,68,25,36,60,17,45,14
35007,205,ALABASTER,SHELBY,"Alabama, AL",US,50,26,45,42,65,49,55,65
36720,334,ALBERTA,WILCOX,"Alabama, AL",US,36,56,28,34,42,16,53,22
35950,256,ALBERTVILLE,MARSHALL,"Alabama, AL",US,47,59,45,46,52,26,52,50
35951,256,ALBERTVILLE,MARSHALL,"Alabama, AL",US,,,,,,,,
35010,256,ALEXANDER CITY,TALLAPOOSA,"Alabama, AL",US,47,62,40,47,43,35,61,42
35011,256,ALEXANDER CITY,TALLAPOOSA,"Alabama, AL",US,,,,,,,,
36250,256,ALEXANDRIA,CALHOUN,"Alabama, AL",US,44,52,32,28,60,34,59,45
35442,205,ALICEVILLE,PICKENS,"Alabama, AL",US,38,69,32,41,29,15,51,26
35013,205,ALLGOOD,BLOUNT,"Alabama, AL",US,44,41,40,26,60,21,42,64
36501,334,ALMA,CLARKE,"Alabama, AL",US,43,65,30,40,40,21,74,34
35014,256,ALPINE,TALLADEGA,"Alabama, AL",US,47,66,26,26,80,20,59,52
35015,205,ALTON,JEFFERSON,"Alabama, AL",US,49,52,43,41,52,48,61,44
35952,205,ALTOONA,ETOWAH,"Alabama, AL",US,47,69,25,26,63,28,59,60
36420,334,ANDALUSIA,COVINGTON,"Alabama, AL",US,49,62,39,46,61,29,64,42
36421,334,ANDALUSIA,COVINGTON,"Alabama, AL",US,,,,,,,,
